"azonosito","nev","kod","datum","kezdoenek","konyorges","felajanlo","prefacio","aldozasi","aldozasutani"
"1","SZŰZ MÁRIA, ISTEN ANYJA (parancsolt ünnep)","1","01-01","Misekönyv 144. oldal<br
>Üdvöz légy, szent Szülő, te szülted a Királyt,
ki az eget és a földet kormányozza
örökkön örökké!
<br><br>
<i>Vagy:</i><br>				
Fényesség ragyog ma ránk,
mert megszületett nekünk a mi Urunk!
Így fogják hívni: Csodálatos Isten,
Béke Fejedelme, a jövendő világ Atyja;
és országának nem lesz vége! (Vö. Iz 9,1.5; Lk 1,33)","Istenünk, te Mária szűzi anyasága által
örök üdvösséggel ajándékoztad meg
az emberi nemet.
Engedd, kérünk,
hogy Isten Anyjának közbenjárását mindig érezzük,
mert tőle kaptuk az élet szerzőjét, Fiadat,
a mi Urunkat, Jézus Krisztust.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Istenünk, te vagy minden jónak elkezdője és beteljesítője.
Add meg nekünk, akik örvendezünk
Szűz Mária istenanyaságának szent ünnepén,
hogy miként kegyelmi munkálkodásod kezdetét
magasztaljuk, annak beteljesedésén is örvendhessünk.
Krisztus, a mi Urunk által.","I. PREFÁCIÓ A BOLDOGSÁGOS SZÛZ MÁRIÁRÓL<br>
<i>Szűz Mária anyasága<br> 
Misekönyv 457. o.<br>

58. A következő prefációt a Boldogságos Szűz Mária miséiben mondjuk, hozzáadva az ünnep megemlítését, amint az egyes miséknél található.</i><br>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
–    mi Urunk, szentséges ATyánk,
  mindenható, örök Isten:
<br>
s a Boldogságos, mindenkor szűz Mária anyaságának ünnepén
– téged dicsérjünk, magasztaljunk és áldjunk.

Mert ő foganta Egyszülöttedet a Szentlélek által,
és szüzességének teljes ragyogásában világra hozta
– az örök világosságot, a mi Urunkat,
  Jézus Krisztust.
<br>
A te fölségedet általa dicsérik az angyalok,
és imádják az uralkodó szellemek,
  az égi hatalmak rettegik;
a mennyei seregek, az ég erői s a boldog szeráfkórusok
– ujjongva együtt tisztelik.
Add, kérünk, hogy az ő szavukhoz társuljon szózatunk,
– és alázatos megvallással mondjuk (zengjük):
<br><br>
II. PREFÁCIÓ A BOLDOGSÁGOS SZŰZ MÁRIÁRÓL
<br><i>Az Egyház Mária szavaival magasztalja Istent<br>
59. A következő prefációt a Boldogságos Szűz Mária miséiben mondjuk.</i><br>

Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy téged szentjeidben csodálatra méltónak valljunk,
de kiváltképpen, amikor tiszteljük a Boldogságos Szűz Máriát,
– az ő hálaadó éneke által
  jóságodért magasztaljunk téged.
<br>
Te valóban nagy csodákat műveltél szerte az egész földön:
– és nemzedékről nemzedékre folytatod,
  amit jóvoltodból tettél értünk.<br>
Mert alázatos szolgálóleányodat kegyes szemmel nézted,
– és általa adtad nekünk Fiadat:
  Üdvözítő Urunkat, Jézus Krisztust.
<br>
A te fölségedet őáltala dicsőíti az angyalok hatalmas kórusa:
– boldogan áldanak, mert mindörökké látnak téged.<br>
Add, kérünk, hogy az ő szavukhoz társuljon szózatunk,
– és velük együtt szüntelen ujjongással mondjuk (zengjük):","Jézus Krisztus ugyanaz tegnap, ma és mindörökké. (Zsid 13,8)
","A Boldogságos mindenkor Szűz Máriát,
szent Fiad Szülőanyja
és az Egyház édesanyjaként magasztaljuk.
Részesültünk, Urunk, mennyei ajándékodból:
kérünk, hogy általa eljussunk az örök életre.
Krisztus, a mi Urunk által."
"2","Nagy Szent Vazul és Nazianzi Szent Gergely","3","01-02",,,,,,
"3","Jézus Szentséges neve","4","01-03",,,,,,
"4","URUNK MEGJELENÉSE (Vízkereszt - parancsolt ünnep)","1","01-06","Misekönyv 148. oldal<br>
Íme eljött az Uralkodó, az Úr,
az uralom, a hatalom és a királyság
az ő kezében van. 
(Vö. Mal 3,1; 1Krón 19,12)","Istenünk, te a mai napon
a betlehemi csillag fényével vezetted a nemzeteket,
és kinyilatkoztattad nekik Egyszülöttedet.
Miután a hitből itt már megismertünk téged,
add meg jóságosan, hogy az örök dicsőségben
szent színed látására jussunk.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.
","Kérünk, Istenünk, tekints jóságosan Egyházad adományaira.
Már nem aranyat, tömjént és mirhát hozunk eléd,
hanem magát Jézus Krisztust,
akit ezekben az adományokban vallunk,
feláldozunk és magunkhoz veszünk.
Aki él és uralkodik mindörökkön örökké.","Misekönyv 433. oldal<br>
<li>Krisztus, a népek világossága<br>

34. A következő prefációt Urunk megjelenése főünnepének miséiben mondjuk. Mondható a karácsonyi prefációkkal együtt Urunk megjelenésének főünnepe (Vízkereszt) után is, Urunk megkeresztelkedése előtti szombatig.</i><br>

Az Úr legyen veletek.
  H.: És a te lelkeddel.<br>
Emeljük föl szívünket.
  H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek.
  H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
– mi Urunk, szentséges ATyánk,
  mindenható, örök Isten:
<br>
Te Krisztusban ma kinyilatkoztattad a nemzeteknek üdvösségünk titkát,
hogy világosság áradjon rájuk,
és amikor Fiad halandó testünkben megjelent,
– halhatatlanságának fényével
  újjá alkottál minket.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük
– és velük együtt
  vég nélkül mondjuk (énekeljük):","Láttuk csillagát napkeleten, és eljöttünk,
hogy ajándékainkkal imádjuk az Urat! 
(Vö. Mt 2,2)","Kérünk, Urunk, járj előttünk mindig
és mindenütt mennyei fényességeddel,
hogy tiszta lélekkel szemléljük a misztériumot,
amelynek részesévé tettél,
és tiszta szívvel fogadjuk magunkba.
Krisztus, a mi Urunk által."
"5","Penyaforti Szent Rajmund áldozópap","4","01-07",,,,,,
"6","Szent Hiláriusz (Vidor) püspök és egyháztanító","4","01-13",,,,,,
"7","Remete Szent Pál","4","01-15",,,,,,
"8","Szent Antal apát","3","01-17",,,,,,
"9","Árpád-házi Szent Margit szűz","2","01-18","Misekönyv 567. oldal<br>
Íme, a bölcs szűz, az okosak közül való,
aki égő lámpással ment Krisztus elé.","Istenünk, szüzesség kedvelője és védelmezője,
Szent Margit a te kegyelmedből fonta egybe
a szűzi élet szépségét a jócselekedetek érdemével.
Engedd, kérünk, hogy az üdvösséges bűnbánattal
visszaszerezzük lelkünk tisztaságát.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Szent Margit szűz életében kegyelmed csodás erejét ünnepeljük.
Kérve kérjük Fölségedet, Urunk, Istenünk,
hogy amint az ő szűzi életét szívesen fogadtad,
teljék kedved a mi szolgálatunkban is.
Krisztus, a mi Urunk által.","A szent szüzekről és szerzetesekről, Misekönyv 468. o.","Íme, jön már a Vőlegény:
jöjjetek az Úr Krisztus elé! (Mt 25,6)","Urunk, Istenünk, te isteni adományoddal erősítettél meg minket.
Add, hogy Szent Margit példáját követve
Jézus szenvedését hordozzuk halandó testünkben,
és minden igyekezetünkkel hozzád ragaszkodjunk.
Krisztus, a mi Urunk által."
"10","Szent Fábián pápa és vértanú","4","01-20",,,,,,
